"Top Sliders","أعلى المتزلجون"
"Select Date","حدد تاريخ"
"Save","حفظ"
"This field cannot be empty","هذا المجال لا يمكن أن يكون فارغا"
"Select 1st Category","اختر الفئة 1ST"
"Upload Image","تحميل الصور"
"Remove image","إزالة الصورة"
"Select 2nd Category","اختر الفئة 2ND"
"Select 3rd Category","اختر الفئة 3RD"
"Select 4th Category","اختر الفئة 4TH"
"Select 5th Category","اختر الفئة 5TH"
"Select 6th Category","اختر الفئة 6TH"
"Select 7th Category","اختر الفئة 7TH"
"Select 8th Category","اختر الفئة 8TH"
"Are your sure?","هل انت متأكد؟"
"Are you sure?","هل أنت واثق؟"
"Edit Component","تحرير مكون"
"Close","قريب"
"Need to add value in atleast 4 categories","الحاجة إلى إضافة قيمة في أتلست 4 فئات"
"Component added successfully","وأضاف العنصر بنجاح"
"You can add only 20 components in a layout","يمكنك إضافة 20 فقط المكونات في تخطيط"
"Top Categories","أفضل الفئات"
"Banner-Square","راية ساحة"
"Banner-Custom","راية مخصص"
"Banner-Horizontal Sliding","راية أفقي انزلاق"
"Banner-Grid","راية الشبكة"
"Banner-With Countdown timer","راية مع للعد التنازلي"
"Products-Square","منتجات ساحة"
"Products-Horizontal Sliding","المنتجات أفقي انزلاق"
"Products-Grid","منتجات الشبكة"
"Edit Heading","تحرير العنوان"
"Category1","الفئة 1"
"Category2","Category2"
"Category3","Category3"
"Category4","Category4"
"Horizontal Banner","أفقي راية"
"Banner-Grid 1","راية الشبكة 1"
"Banner-Grid 2","راية الشبكة 2"
"Banner-Grid 3","راية الشبكة 3"
"Banner-Grid 4","راية الشبكة 4"
"Countdown Banner","العد التنازلي لافتة"
"Hours","ساعة"
"Minutes","دقيقة"
"Seconds","ثانيا"
"Horizontal Products","المنتجات أفقي"
"Product Grid","شبكة المنتج"
"Payment Mode","طريقة الدفع"
"Sandbox","Sandbo"
"Live","ليف"
"Client Id","رقم العميل"
"Please select atleast one country","الرجاء تحديد أتلست بلد واحد"
"Please enter a valid color code","الرجاء إدخال رمز اللون صحيح"
"Date & Time should be greater than current date time.","يجب أن يكون تاريخ ووقت أكبر من وقت التاريخ الحالي."
"Field cannot be empty","المجال لا يمكن إفراغ"
"Total Coupons Generated","مجموع القسائم ولدت"
"Total Coupons Unused","مجموع القسائم غير المستخدمة"
"Total Coupons Used","مجموع قسائم مستعمل"
"`Active Date` cannot be greater than `Expire Date`","`النشطة Date` لا يمكن أن يكون أكبر من` انتهاء صلاحية Date`"
"`From` Date cannot be greater than `To` Date","`From` تاريخ لا يمكن أن يكون أكبر من` To` التسجيل"
"The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is:","مجموع الجاذبية ليست في نطاق صالح. وينبغي أن يكون بين العامين 1 و 100. ككل:"
"No list exists for this API key.","لا توجد قائمة لهذا المفتاح API."
"No. of times","عدد مرات"
"Date","تاريخ"
"Please upload an image file.","يرجى تحميل ملف صورة."
"To percentage should be greater than From percentage.","لنسبة يجب أن تكون أكبر من من نسبة."
"Value must be greater than 0","يجب أن تكون قيمة أكبر من 0"
"Allowed extension is","تمديد المسموح به هو"
"Please provide correct format. Maximum allowed file size is","يرجى تقديم الشكل الصحيح. الحد الأقصى لحجم الملف المسموح به هو"
"Validated successfully","التحقق من صحة بنجاح"
"Invalid Api Key","مفتاح API غير صالح"
"Message","رسالة"
"Select Brodcast Device Type","اختر نوع الجهاز Brodcast"
"Remove Image","إزالة الصورة"
"Only .png or .jpg file format accepted. File size should not be more than 2 MB.","بابوا نيو غينيا فقط أو بتنسيق jpg ملف قبول. لا ينبغي أن يكون حجم ملف أكثر من 2 MB."
"--Select Product--","--حدد المنتج--"
"Enable/Disable","مفعل وغير مفعل"
"Facebook App Id","الفيسبوك معرف التطبيق"
"Validate App Id","التحقق من صحة رقم تعريف التطبيق"
"Enable the Extension","تمكين التمديد"
"This setting will enable/disable entire mobile app functionality.","فإن هذا الإعداد تمكين / تعطيل كامل وظائف التطبيق المحمول."
"Redirect on Cart Page when Add To Cart","إعادة توجيه على العربة الصفحة عند إضافة إلى السلة"
"This setting will redirect to cart page or keep on the product page when add to cart is clicked.","فإن هذا الإعداد إعادة توجيه إلى صفحة عربة أو تبقي على صفحة المنتج عند النقر فوق إضافة إلى السلة."
"Display Short Description","عرض قصير الوصف"
"Enable Request Log Reporting","تمكين طلب التقارير دخول"
"This setting will enable/disable error log reporting for every request to Web Services of the module.","فإن هذا الإعداد تمكين / تعطيل التقارير سجل خطأ كل طلب لخدمات الويب وحدة."
"Show App Preview","مشاهدة التطبيقات معاينة"
"This setting will show/hide the app preview.","فإن هذا الإعداد إظهار / إخفاء معاينة التطبيق."
"Enable Tab Bar","تمكين تبويب بار"
"This setting will enable/disable the tab bar in the app.","فإن هذا الإعداد تمكين / تعطيل شريط التبويب في التطبيق."
"Show Spin and Win","تظهر سبين واربح"
"Show spin and win popup on the mobile App.","تظهر تدور والفوز منبثقة على التطبيقات النقالة."
"Enable/Disable Fingerprint Login","تمكين / تعطيل بصمة الدخول"
"This setting will enable/disable Fingerprint login in Mobile App.","فإن هذا الإعداد تمكين / تعطيل تسجيل الدخول بصمة في موبايل التطبيق."
"Enable/Disable Phone Number Registration","تمكين / تعطيل رقم الهاتف التسجيل"
"This setting will enable/disable customer registration and login via phone number verification.","فإن هذا الإعداد تمكين / تعطيل تسجيل العملاء وتسجيل الدخول عن طريق التحقق من أرقام الهاتف."
"Mandatory Phone number at registration","رقم الهاتف إلزامي عند التسجيل"
"This setting will set the Phone number field as optional or required.","فإن هذا الإعداد تعيين حقل رقم الهاتف كما اختياري أو المطلوبة."
"Select layout for home page","حدد تخطيط للصفحة الرئيسية"
"Please select","الرجاء تحديد"
"Disabled Shippping Sethods","تعطيل حر Shippping Sethods"
"Select shipping methods from the list for which you want to disable this module.You can leave it to empty if you want to enable this module for all shipping methods.","تحديد الأساليب من القائمة التي تريد تعطيل هذا module.You يمكن ترك الأمر لتفريغ الشحن إذا كنت ترغب في تمكين هذه الوحدة لجميع وسائل النقل البحري."
"Select shipping methods","وسائل النقل البحري حدد"
"Enable Whatsapp Chat Support","تمكين واتس اب دردشة دعم"
"This setting will enable/disable WHATSAPP chat support option in mobile app.","فإن هذا الإعداد تمكين / خيار دعم ال WhatsApp دردشة في تعطيل التطبيق المحمول."
"Chat Number","عدد دردشة"
"Enter Chat number with Country code as well.","أدخل عدد الدردشة مع رمز البلد كذلك."
"Enable Live Chat Support","تمكين الدردشة دعم"
"This setting will enable/disable live chat support option in mobile app.","فإن هذا الإعداد تمكين الخيار / يعيش دردشة الدعم في تعطيل التطبيق المحمول."
"Chat API Key","مفتاح API الدردشة"
"Enter API Key for Live chat","أدخل مفتاح API للدردشة الحية"
"Enable Url Encoding Of Image Links","تمكين رابط ترميز الروابط صورة"
"This setting will enable/disable Url encoding of all image links.","فإن هذا الإعداد تمكين / ترميز رابط تعطيل جميع وصلات الصورة."
"Look And Feel","انظر و اشعر"
"Enable Logo","تمكين شعار"
"Upload logo","تحميل شعار"
"Remove logo","شعار إزالة"
"App Button Color","التطبيق زر اللون"
"Select button color of the app.","حدد لون زر من التطبيق."
"App Button Text Color","التطبيق اللون زر النص"
"Select button text color of the app.","حدد لون النص زر التطبيق."
"App Theme Color","التطبيق موضوع اللون"
"Select theme color of the app.","حدد اللون موضوع التطبيق."
"App Background Color","التطبيق لون الخلفية"
"Select background color of the app.","حدد لون الخلفية من التطبيق."
"Custom CSS","لغة تنسيق ويب حسب الطلب"
"Add custom CSS code that you want to be executed on the app","إضافة رمز CSS المخصصة التي تريدها ليتم تنفيذها على التطبيق"
"Edit Payment Method Settings","تحرير الدفع إعدادات أسلوب"
"Something went wrong. Please try again.","هناك خطأ ما. حاول مرة اخرى."
"Edit Settings","تعديل الإعدادات"
"Upload Google JSON file","تحميل ملف جوجل JSON"
"Only .json file format accepted. File size should not be more than 1 MB.","فقط قبول تنسيق الملف و. json. لا ينبغي أن يكون حجم ملف أكثر من 1 ميغا بايت."
"Uploaded App Id","حملت رقم تعريف التطبيق"
"Uploaded Api Key","حملت مفتاح API"
"Send New Push Notification","إرسال نيو إعلام دفع"
"Send","إرسال"
"Cancel","إلغاء"
"View Push Notification","عرض إعلام دفع"
"Send New Notification","إرسال إشعار جديد"
"Contact Us Page","اتصل بنا الصفحة"
"Enable/Disable Contact Us Page","تمكين / تعطيل الاتصال بنا الصفحة"
"Select Contact Us Page","اختر صفحة اتصل بنا"
"Select Product Carousel Type","حدد المنتج كاروسيل نوع"
"Menu 1","القائمة 1"
"Enable/Disable Menu","تمكين / تعطيل القائمة"
"Menu Title","عنوان القائمة"
"Enter Tiltle for Menu","أدخل Tiltle عن القائمة"
"Select Page","اختر الصفحة"
"Menu 2","القائمة 2"
"Menu 3","القائمة 3"
"Menu 4","القائمة 4"
"Category Icon","فئة أيقونة"
"Select category to add icon","حدد فئة لإضافة رمز"
"Select category to add/edit icon.","حدد فئة لإضافة / تحرير رمز."
"Category icon saved successfully.","حفظ فئة رمز بنجاح."
"Something went wrong","تحديث الصفحة."
"Invalid File Format","يرجى تحديد أنواع فقط الموصى بها .."
"File size must be less than 1MB","يجب أن يكون حجم الملف أقل من 1MB"
"Invalid File.","ملف غير صالح."
"Add New Layout","إضافة تخطيط جديد"
"Firebase Server Setting","إعداد Firebase خادم"
"Server Key","خادم مفتاح"
"Enter firebase server key","أدخل مفتاح الخادم firebase"
"New Order Settings","إعدادات طلب جديد"
"Enable/Disable new order push notification","تمكين / تعطيل جديد إشعار الطلب دفع"
"Title for new order push notification","عنوان لإشعار الطلب دفعة جديدة"
"Message for new order push notification","رسالة لإشعار الطلب دفعة جديدة"
"Order Status Change Settings","حالة الطلب تغيير إعدادات"
"Enable/Disable order status change push notification","تمكين / تعطيل حالة الطلب إعلام تغيير الضغط"
"Title for order status change push notification","عنوان لحالة الطلب إعلام تغيير الضغط"
"Message for order status change push notification","رسالة لحالة الطلب إعلام تغيير الضغط"
"Abandoned Cart Settings","إعدادات العربة مهجورة"
"Enable/Disable abandoned cart push notification","تمكين / تعطيل التخلي عن إشعار دفع عربة"
"Title for abandoned cart push notification","عنوان الإخطار عربة دفع المهجورة"
"Message for abandoned cart push notification","رسالة الإخطار عربة دفع المهجورة"
"Time Interval","الفاصل الزمني"
"Time interval to check Abandoned cart(In Hours)","الفاصل الزمني للتحقق عربة المهجورة (بالساعات)"
"Cron Instructions","كرون تعليمات"
"Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below","والتعليمات لإضافة كرون، تضاف كرون لمتجرك عبر لوحة التحكم / المعجون لإرسال المهجورة الإخطارات عربة دفع وفقا لإعداداتك أعلاه. البحث تحت تعليمات لإضافة كرون."
"URL to Add Cron via Control Panel","URL إلى إضافة كرون عن طريق لوحة تحكم"
"Cron setup via SSH","الإعداد كرون عن طريق SSH"
"Preview","معاينة"
"Paypal Mobile","باي بال موبايل"
"COD Mobile","COD موبايل"
"Invalid File Format.","تنسيق ملف غير صالح."
"File should be less than 2 Mb.","يجب أن يكون الملف أقل من 2 ميجا بايت."
"Please Upload the Image.","يرجى تحميل الصورة."
"Please Upload Image For Category.","يرجى تحميل صورة على الفئة."
"app_text_category_products","الفئة"
"app_text_no_internet","مشكلة الانترنت"
"app_text_product_image_viewer","عارض صورة المنتج"
"app_text_payment_methods","طرق الدفع"
"app_text_seller_comments","البائع تعليق (الصورة)"
"app_text_home","الصفحة الرئيسية"
"app_text_category","التصنيفات"
"app_text_login","تسجيل الدخول"
"app_text_logout","تسجيل خروج"
"app_text_login_signup","الدخول التسجيل فى الموقع"
"app_text_account","حسابي"
"app_text_contact","اتصل بنا"
"app_text_about","معلومات عنا"
"app_text_add_to_wishlist","أضف إلى قائمة الامنيات"
"app_text_add_to_cart","أضف إلى السلة"
"app_text_off","إيقاف"
"app_text_all","الكل"
"app_text_languages","اللغات)"
"app_text_sort","فرز"
"app_text_filter","منقي"
"app_text_sort_order","حدد ترتيب"
"app_text_price_asce","السعر من الارخص للاعلى"
"app_text_price_desc","السعر الاعلى الى الادنى"
"app_text_product","المنتج"
"app_text_select","تحديد"
"app_text_instock","في المخزن"
"app_text_outstock","إنتهى من المخزن"
"app_text_product_info","معلومات المنتج والعناية"
"app_text_customization","التخصيص المنتج"
"app_text_accessories","مستلزمات"
"app_text_view_less","عرض أقل"
"app_text_view_more","عرض المزيد"
"app_text_provide_details","يرجى تقديم تفاصيل"
"app_text_discount_price","سعر الخصم"
"app_text_discount_percentage","نسبة الخصم"
"app_text_rating","تقييم *"
"app_text_bag","كيس التسوق"
"app_text_apply_voucher","تطبيق القسيمة"
"app_text_entry_voucher_code","أدخل رمز القسيمة"
"app_text_apply","تطبيق"
"app_text_gift","هدية التفاف"
"app_text_entry_message","أدخل رسالتك"
"app_text_available_first","نرسل المنتجات المتاحة أولا"
"app_text_continue_shopping","مواصلة التسوق"
"app_text_continue_checkout","الاستمرار في الخروج"
