"Top Sliders","top Sliders"
"Hi Your order status has been changed to {{STATUS}}.","Hi Váš stav objednávky bol zmenený na {{STATUS}}."
"Hurry!","Poponáhľajte si!"
"Hi","Dokončiť svoju objednávku získať ďalšie výhody pri ďalšej objednávke."
"Best Seller Products","Najpredávanejšie produkty"
"Featured Products","Vybrané produkty"
"New Products","nové produkty"
"From a category","Z kategórie"
"Custom Products","Custom Products"
"Mobile App Builder","Mobile App Builder"
"Settings saved successfully.","Nastavenie úspešne uložené."
"Firebase Server key is not available","Firebase kľúč Server nie je k dispozícii"
"Notificaton Send successfully","Notificaton úspešne Odoslať"
"Data saved successfully.","Dáta bola úspešne uložená."
"Component deleted successfully.","Komponent bola úspešne odstránená."
"Banner data deleted successfully.","Údaje banner úspešne odstránená."
"Layout deleted successfully.","Dispozícia bola úspešne odstránená."
"Data has been saved successfully.","Dáta bola úspešne uložená."
"Settings saved successfully","Nastavenie úspešne uložené"
"Edit Layout","edit Layout"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder nie je povolený v tomto obchode."
"Requested API not available","Požadované API nie je k dispozícii"
"Requested Api method not available","Požadovaná metóda nie je k dispozícii Api"
"Save Settings","Uložiť nastavenia"
"Edit","editovať"
"Edit Name","edit Name"
"Delete","delete"
"View Details","Zobraziť podrobnosti"
"Layout ID","layout ID"
"Layout Name","layout Name"
"Action","akčné"
"Home Page Layout Settings","Titulná strana nastavenie rozloženia"
"Title","nadpis"
"URL","URL"
"Upload","Nahrať"
"Image Type","Typ obrázka"
"Home","Domov"
"Category","kategórie"
"Product","výrobok"
"Redirect Activity","presmerovanie Aktivita"
"Disable","zakázať"
"Enable","umožniť"
"Status","Postavenie"
"Banners Settings","nastavenie bannery"
"ID","ID"
"Device Type","Typ zariadenia"
"Both Android/iOS","Obaja Android / iOS"
"Android","Android"
"iOS","iOS"
"Sent Date","dátum odoslania"
"Push Notification History","Push Notification History"
"Return Statuses","spiatočný Stavy"
"Coupon Code","kód kupónu"
"Customer Email","zákazník Email"
"Device","Zariadenie"
"Coupon Used","kupón Použité"
"Yes","Áno"
"Coupon Generated On","Kupón Generated On"
"Menu Settings","nastavenie menu"
"Push Notification Settings","Nastavenie Push Notification"
"Slider Settings","nastavenie slider"
"Google Login Settings","Nastavenia Prihlásiť mapu"
"Facebook Login Settings","Facebook Prihlásenie Nastavenia"
"General Settings","Všeobecné nastavenia"
"New Arrival","Nový prírastok"
"Best Seller","Najpredávanejší"
"Statistics","štatistika"
"Category Icon Settings","Kategória Nastavenie Ikona"
"Code","kód"
"Payment Method Settings","Platobné nastavenia Method"
"Image","obraz"
"Upto Time","až čas"
"Background Color","Farba pozadia"
"Text Color","Text Color"
"Redirect","presmerovanie"
"Category ID","kategórie ID"
"Product ID","identifikačné číslo produktu"
"Product Name","Meno Produktu"
"Sort Order","poradie zoradenia"
"Layout Settings","nastavenie rozloženia"
"Back","späť"
"Session has expired. Please try again after Re-login.","Relácia vypršala. Skúste to znovu po opätovnom prihlásení."
"Sorry","žiadne úvodzovky sú k dispozícii pre túto objednávku v tomto okamihu."
"Place Order","objednať"
"Heading of this Component","Okruh týchto komponentov"
"Field cannot be empty.","Pole nemôže byť prázdne."
"Select Product Type","Vyberte typ výrobku"
"Select Category","vybrať kategóriu"
"Select Products from Category","Vybrané produkty z kategórie"
"Select Products","vybrané produkty"
"Number of products","počet výrobkov"
"Image Content Mode","Režim obrazu Content"
"Scale aspect fill","Stupnica aspekt fill"
"Scale aspect Fit","Stupnica aspekt Fit"
"Please select category.","Prosím, vyberte kategóriu."
"Please select product.","Prosím, vyberte produkt."
"Please select image type","Prosím, vyberte typ obrázka"
"Please provide image url","Uveďte, prosím adresu URL obrázka"
"Please select category","Prosím, vyberte kategóriu"
"Please select product","Prosím vyberte produkt"
"Only Positive integer is allowed.","Iba Pozitívne integer je povolené."
"Please select an option from dropdown.","Vyberte možnosť z rozbaľovacej ponuky."
"You can enter only numbers.","Môžete zadať iba čísla."
"Number should be greater than 0.","Číslo by malo byť väčšie ako 0."
"Field cannot be greater than {#} characters.","Pole nemôže byť väčšia ako {#} znakov."
"Field cannot be less than {#} character(s).","Pole nemôže byť menšia ako {#} znak (y)."
"Please enter Email.","Zadajte prosím e-mail."
"Please enter a valid Email.","Prosím zadajte platný e-mail."
"Invalid date format.","Neplatný formát dátumu."
"Number is not in the valid range. It should be between {1} and {100}","Číslo nie je v platnom rozsahu. To by malo byť v rozmedzí od {1} a {100}"
"Field should be numeric.","Pole by malo byť číslo."
"Field can have only upto two decimal values.","Pole môže mať iba aľ dve desatinné čísla."
"Email cannot be greater than {#} characters.","E-mail nemôže byť väčšia ako {#} znakov."
"Zip should not have special characters.","Zips by nemala mať špeciálne znaky."
"Percentage should be in number.","Percento by malo byť v rade."
"Percentage should be between 0 and 100.","Percento by mala byť medzi 0 a 100."
"Size cannot be greater than {#} characters.","Veľkosť nemôže byť väčšia ako {#} znakov."
"Color could not be greater than {#} characters.","Farba by nemala byť väčšia ako {#} znakov."
"Color is not valid.","Farba nie je platný."
"Special characters are not allowed.","Špeciálne znaky nie sú povolené."
"Script tags are not allowed.","Script tagy nie sú povolené."
"Style tags are not allowed.","Štýl značky nie sú povolené."
"Iframe tags are not allowed.","Značky iframe nie sú povolené."
"Uploaded file is not an image.","Nahraný súbor nie je obrázok."
"Uploaded file size must be less than #.","Nahraný veľkosť súboru musí byť menšia než #."
"Field should not contain HTML tags.","Pole nesmie obsahovať HTML tagy."
"You can enter only positive numbers.","Môžete zadať iba kladné čísla."
"Select Image Type","Vyberte typ obrazu"
"Select an option","Vyberte jednu z možností"
"Image Url","image Url"
"Enter URL","zadať URL"
"Image Upload","nahrávanie obrázkov"
"Select Redirect Activity","Select Redirect Aktivita"
"CMS","CMS"
"Login","Prihlásiť sa"
"Search","Vyhľadávanie"
"Select Product","Vyberte produkt"
"Banner Width","banner Šírka"
"Banner Height","banner Výška"
"Margin Top","margin Top"
"Margin Bottom","margin Bottom"
"Margin Left","margin Left"
"Margin Right","margin Right"
"Countdown Time Validity","Odpočítavanie času Platnosť"
"Enable Time Background Color","Povoliť Time Farba pozadia"
"Time Background Color","Time Farba pozadia"
"Timer Text Color","Časovač Farba textu"
"Select Date","vybrať dátum"
"Save","Uložiť"
"This field cannot be empty","Toto pole nemôže byť prázdne"
"Select 1st Category","Vyberte 1. kategórie"
"Upload Image","Nahrať obrázok"
"Remove image","Remove image"
"Select 2nd Category","Vyberte 2.kategorii"
"Select 3rd Category","Zvoľte 3. kategórie"
"Select 4th Category","Vyberte 4. kategórie"
"Select 5th Category","Vyberte 5. kategórie"
"Select 6th Category","Vyberte 6. Kategória"
"Select 7th Category","Vyberte 7. Kategórie"
"Select 8th Category","Vyberte 8. Kategórie"
"Are your sure?","Sú vaše istý?"
"Are you sure?","Si si istý?"
"Edit Component","edit Component"
"Close","Zavrieť"
"Need to add value in atleast 4 categories","Potreba zvýšiť pridanú hodnotu v atleast 4 kategóriách"
"Component added successfully","Zložka úspešne pridaný"
"You can add only 20 components in a layout","Môžete pridať iba 20 komponenty v rozvrhnutie"
"Top Categories","top kategórie"
"Banner-Square","Banner-Square"
"Banner-Custom","Banner-Custom"
"Banner-Horizontal Sliding","Banner-Horizontálne posuvné"
"Banner-Grid","Banner-Grid"
"Banner-With Countdown timer","Banner-S Odpočítavanie"
"Products-Square","Výrobky-Square"
"Products-Horizontal Sliding","Výrobky-Horizontálne posuvné"
"Products-Grid","Výrobky-Grid"
"Edit Heading","editovať Nadpis"
"Category1","kategórii1"
"Category2","kategória 2"
"Category3","Category3"
"Category4","category4"
"Horizontal Banner","horizontálne Banner"
"Banner-Grid 1","Banner-Grid 1"
"Banner-Grid 2","Banner-Grid 2"
"Banner-Grid 3","Banner-Grid 3"
"Banner-Grid 4","Banner-Grid 4"
"Countdown Banner","Countdown Banner"
"Hours","hodina"
"Minutes","minúta"
"Seconds","druhý"
"Horizontal Products","horizontálne Products"
"Product Grid","Product Grid"
"Payment Mode","spôsob platby"
"Sandbox","Sandby"
"Live","liv"
"Client Id","Id klienta"
"Please select atleast one country","Prosím vyberte aspon jednej krajine"
"Please enter a valid color code","Zadajte platný kód farby"
"Date & Time should be greater than current date time.","Dátum a čas musí byť väčší ako aktuálny dátum a čas."
"Field cannot be empty","Pole nemôže byť prázdne"
"Total Coupons Generated","Celkom kupóny Vygenerovaný"
"Total Coupons Unused","Celkom kupóny Nevyužitá"
"Total Coupons Used","Celkom kupóny Použité"
"`Active Date` cannot be greater than `Expire Date`","`Active Date` nemôže byť väčšia než` vyprší Date`"
"`From` Date cannot be greater than `To` Date","`From` Dátum nemôže byť väčšia než` To` Dátum"
"The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is:","Súčet gravitácie nie je v platnom rozsahu. Malo by byť betwen 1 a 100. Celková je:"
"No list exists for this API key.","Žiadny zoznam neexistuje pre tento kľúč API."
"No. of times","počet čias"
"Date","Dátum"
"Please upload an image file.","Nahrajte prosím súbor s obrázkom."
"To percentage should be greater than From percentage.","Percentuálneho podielu by mala byť väčšia ako Od percentách."
"Value must be greater than 0","Hodnota musí byť väčšia ako 0"
"Allowed extension is","Povolené rozšírenie je"
"Please provide correct format. Maximum allowed file size is","Uveďte, prosím, správny formát. Maximálna povolená veľkosť súboru je"
"Validated successfully","úspešne overený"
"Invalid Api Key","Neplatný Api Key"
"Message","správa"
"Select Brodcast Device Type","Vyberte Brodcast typ zariadenia"
"Remove Image","Remove Image"
"Only .png or .jpg file format accepted. File size should not be more than 2 MB.","Iba .png alebo formát JPG súboru prijatý. Veľkosť súboru by nemala byť väčšia ako 2 MB."
"--Select Product--","No languages ​​Product--"
"Enable/Disable","Povoliť zakázať"
"Facebook App Id","Facebook App Id"
"Validate App Id","Id App validate"
"Enable the Extension","povoliť rozšírenie"
"This setting will enable/disable entire mobile app functionality.","Toto nastavenie zapína / vypína kompletnú funkčnosť mobilných aplikácií."
"Redirect on Cart Page when Add To Cart","Presmerovanie na stránku košíka pri vložení do košíka"
"This setting will redirect to cart page or keep on the product page when add to cart is clicked.","Toto nastavenie presmerovania na stránku košíka, alebo ponechať na produktovej stránke po kliknutí Pridať do košíka."
"Display Short Description","Zobraziť Stručný opis"
"Enable Request Log Reporting","Umožňuje požiadavku protokolu Reporting"
"This setting will enable/disable error log reporting for every request to Web Services of the module.","Toto nastavenie zapína / vypína hlásenia protokolu chýb pre každú požiadavku na Web Services modulu."
"Show App Preview","Show App Náhľad"
"This setting will show/hide the app preview.","Toto nastavenie sa zobrazí / skryje aplikáciu náhľadu."
"Enable Tab Bar","aktivovať lište"
"This setting will enable/disable the tab bar in the app.","Toto nastavenie zapína / vypína lište v aplikácii."
"Show Spin and Win","Ukáže rotácie a vyhrať"
"Show spin and win popup on the mobile App.","Ukazujú rotáciu a vyhrajte popup na mobilné aplikácie."
"Enable/Disable Fingerprint Login","Povoliť / zakázať odtlačkov prstov Prihlásenie"
"This setting will enable/disable Fingerprint login in Mobile App.","Toto nastavenie povoliť / zakázať prihlásenie odtlačkov prstov Mobile App."
"Enable/Disable Phone Number Registration","Povoliť / zakázať telefónne číslo Registrácia"
"This setting will enable/disable customer registration and login via phone number verification.","Toto nastavenie zapnúť / vypnúť registrácia zákazníka a prihlásenie cez overenie telefónneho čísla."
"Mandatory Phone number at registration","Povinné telefón pri registrácii"
"This setting will set the Phone number field as optional or required.","Toto nastavenie sa nastaví pole Telefónne číslo ako voliteľné, alebo povinné."
"Select layout for home page","Select rozloženie domovskej stránky"
"Please select","Prosím vyber"
"Disabled Shippping Sethods","Zdravotne Shippping Sethods"
"Select shipping methods from the list for which you want to disable this module.You can leave it to empty if you want to enable this module for all shipping methods.","Vyberte lodné metódy zo zoznamu, pre ktoré chcete zakázať toto module.You ho nechať prázdne, ak chcete povoliť tento modul pre všetky spôsoby prepravy."
"Select shipping methods","Vybraných spôsobov prepravy"
"Enable Whatsapp Chat Support","Povoliť WhatsApp chat podporu"
"This setting will enable/disable WHATSAPP chat support option in mobile app.","Toto nastavenie zapína / vypína WhatsApp chatu možnosti podpory v mobilnej aplikácii."
"Chat Number","chat Number"
"Enter Chat number with Country code as well.","Vstúpiť do chatu číslo s kódom krajiny rovnako."
"Enable Live Chat Support","Umožniť live chat podporu"
"This setting will enable/disable live chat support option in mobile app.","Toto nastavenie zapína / vypína možnosť žiť chat podpory v mobilnej aplikácii."
"Chat API Key","Chat Key API"
"Enter API Key for Live chat","Vstúpiť API kľúč pre live chat"
"Enable Url Encoding Of Image Links","Povoliť Url kódovanie obrazu Odkazy"
"This setting will enable/disable Url encoding of all image links.","Toto nastavenie aktivácia / deaktivácia kódovanie URL všetkých obrazových odkazov."
"Look And Feel","Pozri a cíť"
"Enable Logo","aktivovať logo"
"Upload logo","nahrať logo"
"Remove logo","Odobrať logo"
"App Button Color","App Button Color"
"Select button color of the app.","Tlačidlo voľby farby aplikácie."
"App Button Text Color","App Button Text Color"
"Select button text color of the app.","Tlačidlo voľby farby textu z aplikácie."
"App Theme Color","App Theme Color"
"Select theme color of the app.","Zvoliť tému farba aplikácie."
"App Background Color","App Farba pozadia"
"Select background color of the app.","Vyberte farbu pozadia aplikácie."
"Custom CSS","Custom CSS"
"Add custom CSS code that you want to be executed on the app","Pridať vlastný CSS kód, ktorý chcete byť vykonané na aplikáciu"
"Edit Payment Method Settings","Edit Platobné nastavenia Method"
"Something went wrong. Please try again.","Niečo sa pokazilo. Prosím skúste znova."
"Edit Settings","upraviť nastavenia"
"Upload Google JSON file","nahratí súboru Google JSON"
"Only .json file format accepted. File size should not be more than 1 MB.","Iba .json formát súboru prijatý. Veľkosť súboru by nemala byť väčšia ako 1 MB."
"Uploaded App Id","Id App Nahraný"
"Uploaded Api Key","Nahraný Api Key"
"Send New Push Notification","Poslať nový impulz oznámenia"
"Send","send"
"Cancel","Zrušiť"
"View Push Notification","Pohľad push Oznámenie"
"Send New Notification","Odoslať nové oznámenie"
"Contact Us Page","Kontaktujte nás Page"
"Enable/Disable Contact Us Page","Povoliť / zakázať Kontaktujte nás Stránka"
"Select Contact Us Page","Zvoliť Kontaktujte nás Stránka"
"Select Product Carousel Type","Zvoliť produkt Carousel Typ"
"Menu 1","menu 1"
"Enable/Disable Menu","Povoliť / zakázať Menu"
"Menu Title","menu Názov"
"Enter Tiltle for Menu","Vstúpiť Tiltle pre menu"
"Select Page","select Page"
"Menu 2","menu 2"
"Menu 3","Menu 3"
"Menu 4","Menu 4"
"Category Icon","Kategória Icon"
"Select category to add icon","Vyberte kategóriu, ktorú chcete pridať na ikonu"
"Select category to add/edit icon.","Vyberte kategóriu pridať / upraviť ikony."
"Category icon saved successfully.","ikona kategória bola úspešne uložená."
"Something went wrong","aktualizovať stránku."
"Invalid File Format","Prosím, vyberte iba odporúčané typy .."
"File size must be less than 1MB","Veľkosť súboru musí byť menšia ako 1 MB"
"Invalid File.","Neplatný súbor."
"Add New Layout","Pridať nový rozvrhnutie"
"Firebase Server Setting","Nastavenie Firebase Server"
"Server Key","server Key"
"Enter firebase server key","Vstúpiť Firebase kľúč servera"
"New Order Settings","Nastavenie New Order"
"Enable/Disable new order push notification","Povoliť Zakázať nové oznámenie / objednávka Push"
"Title for new order push notification","Názov nové oznámenie poradí Push"
"Message for new order push notification","Správa pre oznámenia o novej objednávke Push"
"Order Status Change Settings","Stav objednávky Zmeniť nastavenia"
"Enable/Disable order status change push notification","Povoliť / stav objednávky oznámenia Zakázať zmena tlačnou"
"Title for order status change push notification","Hlava pre oznamovanie zmien Push stavu objednávky"
"Message for order status change push notification","Správa pre oznamovanie zmien Push stavu objednávky"
"Abandoned Cart Settings","Opustené košík Nastavenie"
"Enable/Disable abandoned cart push notification","Povoliť / zakázať opustený vozík push notifikáciu"
"Title for abandoned cart push notification","Hlava pre opustené oznámenia košíka Push"
"Message for abandoned cart push notification","Správa pre opustené oznámenia košíka Push"
"Time Interval","Časový interval"
"Time interval to check Abandoned cart(In Hours)","Časový interval pre kontrolu opustené vozík (v hodinách)"
"Cron Instructions","cron Inštrukcie"
"Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below","Pokyn na pridať cron., Pridajte cron do vášho obchodu prostredníctvom ovládacieho panela / tmelu poslať Opustené oznámenia vozík Push v závislosti od nastavenia vyššie. Nižšie nájdete Pokynu pridať cron."
"URL to Add Cron via Control Panel","URL pridať Cron prostredníctvom ovládacieho panela"
"Cron setup via SSH","Nastavenie cron cez SSH"
"Preview","Náhľad"
"Paypal Mobile","paypal Mobile"
"COD Mobile","COD Mobile"
"Invalid File Format.","Neplatný formát súboru."
"File should be less than 2 Mb.","Súbor musí byť menší ako 2 Mb."
"Please Upload the Image.","Prosím, nahrajte obrázok."
"Please Upload Image For Category.","Prosím, nahrať obrázok pre kategórie."
"app_text_category_products","kategórie"
"app_text_no_internet","internet Problem"
"app_text_product_image_viewer","Product Image Viewer"
"app_text_payment_methods","spôsob platby"
"app_text_seller_comments","Predajca Comment (s)"
"app_text_home","Domov"
"app_text_category","Kategórie"
"app_text_login","Prihlásiť sa"
"app_text_logout","Odhlásiť sa"
"app_text_login_signup","Prihlásiť Registrácia"
"app_text_account","Môj účet"
"app_text_contact","Kontaktuj nás"
"app_text_about","O nás"
"app_text_add_to_wishlist","Pridať do zoznamu želaní"
"app_text_add_to_cart","Pridať do košíka"
"app_text_off","preč"
"app_text_all","všetko"
"app_text_languages","Jazyk (y)"
"app_text_sort","druh"
"app_text_filter","filter"
"app_text_sort_order","Select Sort Order"
"app_text_price_asce","Cena: od najnižšieho k najvyššiemu"
"app_text_price_desc","Cena: od najvyššej"
"app_text_product","výrobok"
"app_text_select","vybrať"
"app_text_instock","Na sklade"
"app_text_outstock","Vypredané"
"app_text_product_info","Informácie o výrobku a starostlivosť"
"app_text_customization","Prispôsobenie produktu"
"app_text_accessories","príslušenstvo"
"app_text_view_less","Zobraziť menej"
"app_text_view_more","Vidieť viac"
"app_text_provide_details","uveďte podrobnosti"
"app_text_discount_price","Zľavnená cena"
"app_text_discount_percentage","zľava Percento"
"app_text_rating","hodnotenie *"
"app_text_bag","Nákupná taška"
"app_text_apply_voucher","naneste poukaz"
"app_text_entry_voucher_code","Zadajte kód voucheru"
"app_text_apply","platiť"
"app_text_gift","Baliaci papier"
"app_text_entry_message","Vložte vašu správu"
"app_text_available_first","Poslať dostupné produkty ako prvý"
"app_text_continue_shopping","Pokračovať v nákupe"
"app_text_continue_checkout","Pokračovať k pokladni"
"app_text_update_quantity","aktualizácie Množstvo"
"app_text_enter_quantity","zadajte množstvo"
"app_text_empty_cart","Váš lodné košík je prázdny!"
"app_text_goto_home","Prejdi na domovskú stránku"
"app_text_review_your_order","Ohodnoť svoju objednávku"
"app_text_add_new_shipping_address","Pridať novú adresu"
"app_text_history","vodná doprava Podrobnosti"
"app_text_billing_details","fakturačné údaje"
"app_text_same_as_shipping_details","Rovnaké ako dodacia adresa"
"app_text_summary","Prehľad objednávky"
"app_text_shipping_methods","námorná Methods"
"app_text_comment","objednať Comment"
"app_text_payment_summary","platba Zhrnutie"
"app_text_proceed","Pristúpiť k platbe"
"app_text_make_payment","Vykonať platbu"
"app_text_congratulations","blahoželanie"
"app_text_shipping_addresses","Dodacia adresa (y)"
"app_text_billing_addresses","Fakturačná adresa (y)"
"app_text_addresses","Adresa (y)"
"app_text_order_detail","objednať Detail"
"app_text_update_personal","Aktualizácia Osobné údaje"
"app_text_update_password","aktualizácie hesla"
"app_text_current_password","Current Password"
"app_text_new_password","Nové heslo"
"app_text_confirm_password","Potvrďte heslo"
"app_text_cancel","Zrušiť"
"app_text_save","Uložiť"
"app_text_order_ref","objednať referencie"
"app_text_status","Postavenie"
"app_text_placed","Kladený na"
"app_text_reorder","Reorder"
"app_text_order_details","Detaily objednávky"
"app_text_status_history","stav History"
"app_text_shipping_address","dodacia adresa"
"app_text_billing_address","Fakturačná adresa"
"app_text_order_summary","Prehľad objednávky"
"app_text_shipping_method","Spôsob dopravy"
"app_text_payment_method","Spôsob platby"
"app_text_gift_wrapping","Darčekové balenie"
