"Top Sliders","Топ плъзгачи"
"Coupon code is not valid.","Купон код не е валиден."
"Voucher has been removed from your cart successfully.","Ваучер е премахнат от кошницата си успешно."
"Please login to add this product to wishlist.","Моля, влезте, за да добавите този продукт в списъка с желания."
"Please select a product","Моля, изберете продукт"
"Cannot specify product.","Не може да се уточни продукт."
"%1$s has been added to your wishlist.","% 1 $ и е добавен към списъка си с желания."
"An error occurred while adding item to wishlist: %s","Възникна грешка при добавянето на елемента в списъка с желания:% S"
"Requested wishlist doesn't exist","Заявени списъка с желания не съществува"
"SKU","Код"
"Wishlist could not be created.","не може да бъде създадена списък с желания."
"An error occurred while deleting the item from wishlist.","Възникна грешка при изтриване на елемент от списъка."
"Wishlist item has been successfully removed.","Списък с желания елемент е успешно премахната."
"An error occurred while deleting the item from wishlist: %s","Възникна грешка при изтриване на елемент от списъка с желания:% S"
"Item has been successfully added to the cart.","Елементът бе добавен успешно в кошницата."
"Incl. Tax","Вкл. данък"
"Unable to post the review.","Не може да публикувате преглед."
"Recent Products","Последни продукти"
"From","от"
"To","Да се"
"Mobile number and country code is Mandatory.","Мобилен номер и код на държавата е задължително."
"Country Code is Mandatory.","Код на страната е задължително."
"This mobile number has already been registered with an other account.","Този мобилен номер вече е регистриран в друга сметка."
"Shipping Method is disabled.","Начин на доставка е забранено."
"Mobile Number is blank","Мобилен номер е празно"
"Mobile Number already exist","Мобилен номер вече съществува"
"Empty Mobile number.","Изпразнете мобилен номер."
"Empty Country Code.","Изпразнете код на страната."
"Empty Password.","Празен парола."
"The password has been changed successfully.","Паролата е променена успешно."
"Password cannot be updated.","Паролата не може да се актуализира."
"An account using this email address does not exists.","Профил с този имейл адрес не съществува."
"The account has been mapped for the fingerprint login in this device.","Профилът е назначено за вход за пръстови отпечатъци в това устройство."
"The account can not be mapped for the fingerprint login in this device.","Сметката не може да бъде назначено за вход за пръстови отпечатъци в това устройство."
"Customer data is not available.","данни на клиентите не е налична."
"Your account isn\'t available at this time.","Вашата сметка нали \ 'т на разположение в този момент."
"This Unique Id is not linked with the Email id.","Този номер не е свързан с имейл адреса."
"This Mobile number is not linked with any account.","Този мобилен номер, не е свързан с всяка сметка."
"Mobile Number or country code is not available.","Мобилен номер или код на държавата не е налична."
"Mobile number exists into the database..","Мобилен номер съществува в базата данни .."
"Mobile number does not exists into the database..","Мобилен номер не съществува в базата данни .."
"Not Mentioned","Не е споменато"
"Marektplace Module is not enabled","Marektplace Модул не е активиран"
"Seller id is missing","идентификатор Продавач липсва"
"Seller not found","Продавачът не е намерен"
"Please login to write review.","Моля, влезте, за да напишете отзив."
"Not able to submit your review. Title or comment is missing.","Не е в състояние да представи своя преглед. Титла или коментар липсва."
"Not able to submit your review. Posting review for this seller is not allowed.","Не е в състояние да представи своя преглед. Публикуване мнение за този продавач не е позволено."
"Thanks! for rating the Seller.","Благодаря! за оценката на продавача."
"All","всичко"
"Name","име"
"A-Z","A-Z"
"Z-A","Z-A"
"Price","Цена"
"Low to High","От ниска към висока"
"High to Low","От висока към ниска"
"Ascending","Възходящ"
"Descending","Низходящ"
"All Products","Всички продукти"
"Customer already registered.","Клиентът вече регистрирани."
"An error occurred .","Възникна грешка ."
"Success.","Успех."
"Last order was not completed.","Последно нареждане не е приключила."
"Can't apply voucher code on this cart.","Не може да се прилага кода на ваучера на тази количка."
"An error occurred while adding item to wishlist: %1","Възникна грешка при добавянето на елемента в списъка с желания: 1%"
"Your review has been accepted for moderation.","Вашето мнение е прието за умереност."
"Review by %1","Преглед от 1%"
"(Posted on %1)","(Публикувано на% 1)"
"--Select Category--","--Избери категория--"
"Order Successfully Created","Поръчка създадено успешно"
"Hi Thanks for your interest. Keep shopping with us to become our premium customer.","Здравейте Благодаря за проявения интерес. Продължете да пазарувате при нас, за да станете наш клиент премия."
"Order status update","актуализация Статус на поръчката"
"Hi Your order status has been changed to {{STATUS}}.","Здравейте статут на поръчката ви е променено на {{}} СТАТУТ."
"Hurry!","Побързайте!"
"Hi","Завършете поръчката, за да получите допълнителни ползи за следващата си цел."
"Best Seller Products","Най-добрите продукти на продавача"
"Featured Products","Специални продукти"
"New Products","Нови продукти"
"From a category","От категорията"
"Custom Products","Потребителски продукти"
"Mobile App Builder","Mobile App Builder"
"Settings saved successfully.","Настройките са запазени успешно."
"Firebase Server key is not available","Firebase ключов сървър не е достъпен"
"Notificaton Send successfully","Notificaton Изпрати успешно"
"Data saved successfully.","Данните са запазени успешно."
"Component deleted successfully.","Компонент изтрит успешно."
"Banner data deleted successfully.","данни Банер изтрити успешно."
"Layout deleted successfully.","Разпределение изтрит успешно."
"Data has been saved successfully.","Данните са записани успешно."
"Settings saved successfully","Настройките са запазени успешно"
"Edit Layout","Edit Layout"
"Knowband Mobile App Builder is not enabled on this store.","Knowband Mobile App Builder не е разрешен в този магазин."
"Requested API not available","Заявени API не е наличен"
"Requested Api method not available","Заявеният метод Api не е наличен"
"Save Settings","Запазване на настройките"
"Edit","редактиране"
"Edit Name","Редактиране на името"
"Delete","Изтрий"
"View Details","Разгледай детайлите"
"Layout ID","Разпределение ID"
"Layout Name","Разпределение Наименование"
"Action","действие"
"Home Page Layout Settings","Начало Подреждане на страница Настройки"
"Title","Заглавие"
"URL","URL"
"Upload","Качи"
"Image Type","Тип изображение"
"Home","У дома"
"Category","категория"
"Product","продукт"
"Redirect Activity","Пренасочване на дейност"
"Disable","Изключване"
"Enable","Активиране"
"Status","Статус"
"Banners Settings","Банери Настройки"
"ID","документ за самоличност"
"Device Type","Тип на устройството"
"Both Android/iOS","И двете Android / IOS"
"Android","андроид"
"iOS","IOS"
"Sent Date","Изпратени Дата"
"Push Notification History","Push Уведомление История"
"Return Statuses","връщане на Статусите"
"Coupon Code","Купон кодекс"
"Customer Email","Имейл адрес на клиента"
"Device","приспособление"
"Coupon Used","Купон Използва"
"Yes","да"
"Coupon Generated On","Купон, генерирани на"
"Menu Settings","Настройки на меню"
"Push Notification Settings","Настройки Push известяване"
"Slider Settings","Настройки Slider"
"Google Login Settings","Google Вход Настройки"
"Facebook Login Settings","Facebook Вход Настройки"
"General Settings","Основни настройки"
"New Arrival","Новопристигнал"
"Best Seller","Бестселър"
"Statistics","Статистика"
"Category Icon Settings","Категория настройки на икона"
"Code","код"
"Payment Method Settings","Начин на плащане Settings"
"Image","Образ"
"Upto Time","Upto Time"
"Background Color","Цвят на фона"
"Text Color","Цвят на текста"
"Redirect","Пренасочване"
"Category ID","Категория ID"
"Product ID","идентификация на продукта"
"Product Name","Име на продукта"
"Sort Order","Ред на сортиране"
"Layout Settings","Настройки на макета"
"Back","обратно"
"Session has expired. Please try again after Re-login.","Сесия е изтекъл. Моля, опитайте отново след повторно влизане."
"Sorry","без кавички са на разположение за тази цел в този момент."
"Place Order","Поръчай"
"Heading of this Component","Функция на този компонент"
"Field cannot be empty.","Полето не може да бъде празно."
"Select Product Type","Изберете Вид на продукта"
"Select Category","Избери категория"
"Select Products from Category","Изберете продукти от Категория"
"Select Products","Изберете продукти"
"Number of products","Брой на продукти"
"Image Content Mode","Режим на съдържанието на изображението"
"Scale aspect fill","Scale аспект запълване"
"Scale aspect Fit","Scale аспект Fit"
"Please select category.","Моля, изберете категория."
"Please select product.","Моля, изберете продукт."
"Please select image type","Моля, изберете тип на изображението"
"Please provide image url","Моля, въведете URL адрес на изображението"
"Please select category","Моля, изберете категория"
"Please select product","Моля, изберете продукт"
"Only Positive integer is allowed.","Само положително число е позволено."
"Please select an option from dropdown.","Моля, изберете опция от падащото меню."
"You can enter only numbers.","Можете да въведете само цифри."
"Number should be greater than 0.","Числото трябва да е по-голямо от 0."
"Field cannot be greater than {#} characters.","Поле не може да бъде по-голяма от {#} знака."
"Field cannot be less than {#} character(s).","Поле не може да бъде по-малко от {#} характер (и)."
"Please enter Email.","Моля, въведете имейл."
"Please enter a valid Email.","Моля, въведете валиден имейл."
"Invalid date format.","Невалиден формат на дата."
"Number is not in the valid range. It should be between {1} and {100}","Номерът не е в сила диапазон. Тя трябва да бъде между {1} ​​и {100}"
"Field should be numeric.","Невярно трябва да е цифра."
"Field can have only upto two decimal values.","Невярно може да има само до запълването два десетични стойности."
"Email cannot be greater than {#} characters.","Email не може да бъде по-голяма от {#} знака."
"Zip should not have special characters.","Zip не трябва да има специални знаци."
"Percentage should be in number.","Процент трябва да бъде в брой."
"Percentage should be between 0 and 100.","Процент трябва да бъде между 0 и 100."
"Size cannot be greater than {#} characters.","Размер не може да бъде по-голяма от {#} знака."
"Color could not be greater than {#} characters.","Цвят не може да бъде по-голяма от {#} знака."
"Color is not valid.","Цвят не е валиден."
"Special characters are not allowed.","Специални знаци не са разрешени."
"Script tags are not allowed.","Script тагове не са позволени."
"Style tags are not allowed.","Стил тагове не са позволени."
"Iframe tags are not allowed.","Маркери за вградени рамки не се допускат."
"Uploaded file is not an image.","Каченият файл не е изображение."
"Uploaded file size must be less than #.","Качено на размера на файла трябва да е по-малко от #."
"Field should not contain HTML tags.","Невярно не трябва да съдържа HTML тагове."
"You can enter only positive numbers.","Можете да въведете само положителни числа."
"Select Image Type","Изберете вида на изображението"
"Select an option","Изберете опция"
"Image Url","URL адреса на изображението"
"Enter URL","Въведете URL"
"Image Upload","Качване на изображението"
"Select Redirect Activity","Изберете Пренасочване активност"
"CMS","CMS"
"Login","Влизам"
"Search","Търсене"
"Select Product","Избор на продукт"
"Banner Width","Ширина на банера"
"Banner Height","Височина на банера"
"Margin Top","Марж Top"
"Margin Bottom","Марж Bottom"
"Margin Left","лявото поле"
"Margin Right","Марж Право"
"Countdown Time Validity","Countdown Time Валидност"
"Enable Time Background Color","Активиране на времето Цвят на фона"
"Time Background Color","Време Цвят на фона"
"Timer Text Color","Таймер Цвят на текста"
"Select Date","Избери дата"
"Save","Запази"
"This field cannot be empty","В това поле трябва да се попълни"
"Select 1st Category","Изберете първо Категория"
"Upload Image","Качи изображение"
"Remove image","Премахване на изображението"
"Select 2nd Category","Изберете 2-ра категория"
"Select 3rd Category","Изберете трета категория"
"Select 4th Category","Изберете четвърта категория"
"Select 5th Category","Изберете пета категория"
"Select 6th Category","Изберете шестото Категория"
"Select 7th Category","Изберете седми Категория"
"Select 8th Category","Изберете осма категория"
"Are your sure?","Сигурни ли сте?"
"Are you sure?","Сигурен ли си?"
"Edit Component","Редактиране на Компонент"
"Close","Близо"
"Need to add value in atleast 4 categories","Трябва да се добави стойност в Поне 4 категории"
"Component added successfully","Компонент добавен успешно"
"You can add only 20 components in a layout","Можете да добавите само на 20 компонента в оформлението"
"Top Categories","Топ потребители"
"Banner-Square","Банер-Square"
"Banner-Custom","Банер-персонализирана"
"Banner-Horizontal Sliding","Банер-плъзгащо хоризонтално"
"Banner-Grid","Банер-Grid"
"Banner-With Countdown timer","Банер-С Таймер за обратно отброяване"
"Products-Square","Продукти-Square"
"Products-Horizontal Sliding","Продукти-плъзгащо хоризонтално"
"Products-Grid","Продукти-Grid"
"Edit Heading","Edit Heading"
"Category1","Категория 1"
"Category2","категория 2"
"Category3","Category3"
"Category4","Category4"
"Horizontal Banner","Хоризонтален банер"
"Banner-Grid 1","Банер-Grid 1"
"Banner-Grid 2","Банер-Grid 2"
"Banner-Grid 3","Банер-Grid 3"
"Banner-Grid 4","Банер-Grid 4"
"Countdown Banner","Countdown Banner"
"Hours","час"
"Minutes","минута"
"Seconds","втори"
"Horizontal Products","Хоризонтални Продукти"
"Product Grid","Каталог на Grid"
"Payment Mode","Режим на плащане"
"Sandbox","Sandbo"
"Live","Лив"
"Client Id","Идентификационният номер на клиента"
"Please select atleast one country","Моля, изберете поне една държава"
"Please enter a valid color code","Моля, въведете валиден код на цвят"
"Date & Time should be greater than current date time.","Дата и час трябва да бъде по-голяма от текущата дата и час."
"Field cannot be empty","Полето не може да бъде празно"
"Total Coupons Generated","Брой талони генерирани"
"Total Coupons Unused","Брой талони Неизползвани"
"Total Coupons Used","Използвани брой талони"
"`Active Date` cannot be greater than `Expire Date`","`Active Date` не може да бъде по-голяма от` Изтича Date`"
"`From` Date cannot be greater than `To` Date","`From` дата не може да бъде по-голяма от` To` Дата"
"The sum of Gravity is not in the valid range. It should be betwen 1 and 100. The total is:","Сумата от Gravity не е в сила диапазон. Тя трябва да бъде линии между 1 и 100. Общият е:"
"No list exists for this API key.","Не съществува списък за този ключ API."
"No. of times","Брой пъти"
"Date","Дата"
"Please upload an image file.","Моля, качете файл с изображение."
"To percentage should be greater than From percentage.","За да процент трябва да бъде по-голяма, отколкото от процент."
"Value must be greater than 0","Стойността трябва да е по-голяма от 0"
"Allowed extension is","Разрешено е разширение"
"Please provide correct format. Maximum allowed file size is","Моля, въведете правилния формат. Максимално допустим размер на файла е"
"Validated successfully","Утвърден успешно"
"Invalid Api Key","Невалиден ключ за API"
"Message","съобщение"
"Select Brodcast Device Type","Изберете Brodcast Device Type"
"Remove Image","Премахване на изображението"
"Only .png or .jpg file format accepted. File size should not be more than 2 MB.","Само .png или .jpg формат приет. Размерът на файла не трябва да бъде повече от 2 MB."
"--Select Product--","--Избор Product--"
"Enable/Disable","Включване / Изключване"
"Facebook App Id","Id Facebook App"
"Validate App Id","Id Проверка App"
"Enable the Extension","Активирате разширението"
"This setting will enable/disable entire mobile app functionality.","Тази настройка ще включите / изключите цялата функционалност на мобилни приложения."
"Redirect on Cart Page when Add To Cart","Пренасочване на кошницата Page когато добави в кошницата"
"This setting will redirect to cart page or keep on the product page when add to cart is clicked.","Тази настройка ще се пренасочат към кошницата страница или държат на страницата на продукта, когато добавката в количката се натисне."
"Display Short Description","Посочете Кратко описание"
"Enable Request Log Reporting","Включи Искане Вход отчитане"
"This setting will enable/disable error log reporting for every request to Web Services of the module.","Тази настройка ще включите / изключите отчетен лог грешка за всяка заявка към уеб услугите на модула."
"Show App Preview","Преглед Покажи App"
"This setting will show/hide the app preview.","Тази настройка ще покаже / скрие приложение визуализацията."
"Enable Tab Bar","Активиране Tab Bar"
"This setting will enable/disable the tab bar in the app.","Тази настройка ще включите / изключите лентата с разделите в приложението."
"Show Spin and Win","Покажи Spin и Win"
"Show spin and win popup on the mobile App.","Покажи спин и спечели изскачащ прозорец на мобилното приложение."
"Enable/Disable Fingerprint Login","Включване / Изключване на пръстови отпечатъци Вход"
"This setting will enable/disable Fingerprint login in Mobile App.","Тази настройка ще включите / изключите пръстови отпечатъци за влизане в Mobile App."
"Enable/Disable Phone Number Registration","Включване / Изключване на телефонен номер Регистрация"
"This setting will enable/disable customer registration and login via phone number verification.","Тази настройка ще включите / изключите регистрация на клиенти и вход чрез телефонен номер за потвърждение."
"Mandatory Phone number at registration","Задължително Телефонен номер при регистрация"
"This setting will set the Phone number field as optional or required.","Тази настройка ще определи полето Телефонен номер като опция или не се изисква."
"Select layout for home page","Изберете оформление за начална страница"
"Please select","Моля изберете"
"Disabled Shippping Sethods","Увреждания Shippping Sethods"
"Select shipping methods from the list for which you want to disable this module.You can leave it to empty if you want to enable this module for all shipping methods.","Изберете доставка методи от списъка, за които искате да деактивирате тази module.You да го оставите да се изпразни, ако искате да се даде възможност на този модул за всички методи за доставка."
"Select shipping methods","Изберете начините за доставка"
"Enable Whatsapp Chat Support","Активиране на Whatsapp поддръжка за чат"
"This setting will enable/disable WHATSAPP chat support option in mobile app.","Тази настройка ще включите / изключите опцията подкрепа WhatsApp чат в мобилно приложение."
"Chat Number","Чат Номер"
"Enter Chat number with Country code as well.","Въведете Чат номер с код на държава, както добре."
"Enable Live Chat Support","Активиране на Live Chat Support"
"This setting will enable/disable live chat support option in mobile app.","Тази настройка ще включите / изключите опцията чат на живо подкрепа в мобилно приложение."
"Chat API Key","Чат Key API"
"Enter API Key for Live chat","Въведете ключ за API за чат на живо"
"Enable Url Encoding Of Image Links","Активиране на URL кодиране на образа Връзки"
"This setting will enable/disable Url encoding of all image links.","Тази настройка ще включите / изключите Url кодиране на всички връзки към изображения."
"Look And Feel","Вид и усещане"
"Enable Logo","Активиране на лого"
"Upload logo","Качи лого"
"Remove logo","Премахване на лого"
"App Button Color","App Button Color"
"Select button color of the app.","Изберете цвят бутон на приложението."
"App Button Text Color","App Button Цвят на текста"
"Select button text color of the app.","Изберете цвят на текста на бутона на приложението."
"App Theme Color","App Тема Цвят"
"Select theme color of the app.","Изберете тема цвят на приложението."
"App Background Color","App Цвят на фона"
"Select background color of the app.","Изберете цвета на фона на приложението."
"Custom CSS","Персонализирана CSS"
"Add custom CSS code that you want to be executed on the app","Добавяне на персонализирана CSS код, който искате да бъде изпълнено на приложението"
"Edit Payment Method Settings","Редактиране на настройките за начина на плащане"
"Something went wrong. Please try again.","Нещо се обърка. Моля, опитайте отново."
"Edit Settings","Редактиране на настройките"
"Upload Google JSON file","Качи Google JSON файл"
"Only .json file format accepted. File size should not be more than 1 MB.","Само .json файлов формат приет. Размерът на файла не трябва да бъде повече от 1 MB."
"Uploaded App Id","Id Качено App"
"Uploaded Api Key","Качено Api Key"
"Send New Push Notification","Изпрати New Push Уведомление"
"Send","Изпрати"
"Cancel","Отказ"
"View Push Notification","Вижте Push Уведомление"
"Send New Notification","Изпрати ново уведомление"
"Contact Us Page","Свържете се с нас Page"
"Enable/Disable Contact Us Page","Включване / Изключване на контакти Страница"
"Select Contact Us Page","Изберете контакти Страница"
"Select Product Carousel Type","Изберете продукта Carousel Type"
"Menu 1","Меню 1"
"Enable/Disable Menu","Включване / Изключване на Меню"
"Menu Title","Меню дял"
"Enter Tiltle for Menu","Въведете Tiltle за меню"
"Select Page","Изберете Page"
"Menu 2","Меню 2"
"Menu 3","Меню 3"
"Menu 4","Меню 4"
"Category Icon","Категория Икона"
"Select category to add icon","Изберете категория, за да добавите икона"
"Select category to add/edit icon.","Изберете категория, за да добавите / редактирате икона."
"Category icon saved successfully.","Категория икона запазена успешно."
"Something went wrong","опресняване на страницата."
"Invalid File Format","Моля, изберете само препоръчаните видове .."
"File size must be less than 1MB","Размерът на файла трябва да е по-малко от 1MB"
"Invalid File.","Невалиден файл."
"Add New Layout","Add New Layout"
"Firebase Server Setting","Firebase сървър Setting"
"Server Key","Сървър Key"
"Enter firebase server key","Въведете firebase ключ на сървъра"
"New Order Settings","Нова настройките за поръчка"
"Enable/Disable new order push notification","Включване / Изключване на известието за нова поръчка тласък"
"Title for new order push notification","Заглавие на известието за нова поръчка тласък"
"Message for new order push notification","Съобщение за известието за нова поръчка тласък"
"Order Status Change Settings","Състояние на поръчката Промяна на настройките"
"Enable/Disable order status change push notification","Включване / Изключване на състоянието на поръчката уведомление промяна тласък"
"Title for order status change push notification","Заглавие за състоянието на поръчката уведомление промяна тласък"
"Message for order status change push notification","Съобщение за състоянието на поръчката уведомление промяна тласък"
"Abandoned Cart Settings","Изоставени Настройки кошницата"
"Enable/Disable abandoned cart push notification","Включване / Изключване на изоставен уведомление количка тласък"
"Title for abandoned cart push notification","Заглавие за изоставени уведомление количка тласък"
"Message for abandoned cart push notification","Съобщение за изоставени уведомление количка тласък"
"Time Interval","Времеви интервал"
"Time interval to check Abandoned cart(In Hours)","Интервал от време, за да проверите Изоставен количка (в часове)"
"Cron Instructions","Cron Инструкции"
"Add the cron to your store via control panel/putty to send Abandoned cart push notifications according to your settings above. Find below","Инструкцията за да добавите Cron., Добавяне на Cron да си магазин през контролния панел / шпакловка за изпращане на уведомления Изоставени количка лицеви според вашите настройки по-горе. Вижте по-долу Инструкцията за да добавите Cron."
"URL to Add Cron via Control Panel","URL на Добавете Cron чрез Control Panel"
"Cron setup via SSH","Cron настройка чрез SSH"
"Preview","предварителен преглед"
"Paypal Mobile","Paypal Mobile"
"COD Mobile","COD Mobile"
"Invalid File Format.","Невалиден формат на файла."
"File should be less than 2 Mb.","Файл трябва да бъде по-малко от 2 Mb."
"Please Upload the Image.","Моля, качете го."
"Please Upload Image For Category.","Моля, Качване на изображението За категория."
"app_text_category_products","категория"
"app_text_no_internet","Интернет Проблем"
"app_text_product_image_viewer","Каталог Image Viewer"
"app_text_payment_methods","начини за плащане"
"app_text_seller_comments","Продавачът Коментар (и)"
"app_text_home","У дома"
"app_text_category","Категории"
"app_text_login","Влизам"
"app_text_logout","Излез от профила си"
"app_text_login_signup","Вход / Регистрация"
"app_text_account","Моята сметка"
"app_text_contact","Свържете се с нас"
"app_text_about","За нас"
"app_text_add_to_wishlist","Добави към списък с желания"
"app_text_add_to_cart","Добави в кошницата"
"app_text_off","от"
"app_text_all","всичко"
"app_text_languages","Език (ци)"
"app_text_sort","Вид"
"app_text_filter","филтър"
"app_text_sort_order","Изберете реда на сортиране"
"app_text_price_asce","Цена: от ниска към висока"
"app_text_price_desc","Цена: от висока към ниска"
"app_text_product","продукт"
"app_text_select","Изберете"
"app_text_instock","В наличност"
"app_text_outstock","Няма в наличност"
"app_text_product_info","Информация за продукта и хигиена"
"app_text_customization","Каталог персонализиране"
"app_text_accessories","аксесоари"
"app_text_view_less","Преглед на по-малко"
"app_text_view_more","Виж повече"
"app_text_provide_details","Моля, посочете подробности"
"app_text_discount_price","Намалена цена"
"app_text_discount_percentage","Процентът на отстъпката"
"app_text_rating","Оценка *"
"app_text_bag","Пазарска чанта"
"app_text_apply_voucher","Прилагане на талона"
"app_text_entry_voucher_code","Въведете кода на ваучера"
"app_text_apply","Приложи"
"app_text_gift","Опаковъчна хартия"
"app_text_entry_message","Въведете съобщението си"
"app_text_available_first","Изпрати налични продукти първия"
"app_text_continue_shopping","Продължи пазаруването"
"app_text_continue_checkout","Продължи с поръчката"
"app_text_update_quantity","новия брой"
"app_text_enter_quantity","Въведете количество"
"app_text_empty_cart","Вашата доставка Кошницата е празна!"
"app_text_goto_home","Отидете в началната страница"
"app_text_review_your_order","Прегледайте поръчката"
"app_text_add_new_shipping_address","Добавяне на нов адрес"
"app_text_history","Доставка Детайли"
"app_text_billing_details","данните за таксуване"
"app_text_same_as_shipping_details","Същия като адреса за доставка"
"app_text_summary","Обобщена информация за поръчката"
"app_text_shipping_methods","Методи за доставка"
"app_text_comment","Поръчка коментар"
"app_text_payment_summary","Заплащане Резюме"
"app_text_proceed","Продължете да Заплащане"
"app_text_make_payment","Извършвам плащане"
"app_text_congratulations","Честито"
"app_text_shipping_addresses","На адреса за доставка (и)"
"app_text_billing_addresses","Адресът за фактуриране (и)"
"app_text_addresses","Адрес (и)"
"app_text_order_detail","Подробности за поръчката"
"app_text_update_personal","Обновяване на лични Детайли"
"app_text_update_password","Актуализация на парола"
"app_text_current_password","Настояща парола"
"app_text_new_password","нова парола"
"app_text_confirm_password","потвърди парола"
"app_text_cancel","Отказ"
"app_text_save","Запази"
"app_text_order_ref","Поръчка Референтен"
"app_text_status","Статус"
"app_text_placed","Сложен на"
"app_text_reorder","Пренареждане"
"app_text_order_details","подробности за поръчката"
"app_text_status_history","История Статус"
"app_text_shipping_address","Адрес за доставка"
"app_text_billing_address","адрес на плащане"
"app_text_order_summary","Обобщена информация за поръчката"
"app_text_shipping_method","Начин на доставка"
"app_text_payment_method","Начин на плащане"
"app_text_gift_wrapping","Опаковане на подаръци"
"app_text_no_shipping_address","Не адрес за доставка на разположение!"
"app_text_no_order_details","детайли Няма налична ред!"
"app_text_signup","Регистрирай се"
"app_text_continue_guest","Продължи като гост"
"app_text_email","електронна поща"
"app_text_password","парола"
"app_text_forgot_password","Забравена парола"
"app_text_login_social_account","Можете да влезете с социален профил."
"app_text_login_with_google","Влез с Google+"
"app_text_login_with_facebook","Влез с Facebook"
"app_text_signup_with_google","Регистрация с Google+"
"app_text_signup_with_facebook","Регистрация с Facebook"
"app_text_msg_enter_valid_email","Моля, въведете валиден имейл!"
"app_text_msg_enter_email","Моля, въведете имейл!"
"app_text_msg_enter_password","Моля, въведете паролата!"
"app_text_msg_password_characters_less_than_3","Моля, въведете паролата като герои повече от или равно на 3!"
"app_text_msg_first_name","Първо име"
"app_text_msg_last_name","Фамилия"
"app_text_msg_dob","Дата на раждане"
"app_text_msg_confirm_password","потвърди парола"
"app_text_msg_personal_details","Лични данни"
"app_text_msg_pass_not_matched","Парола и Потвърждение на паролата не съвпадат!"
"app_text_sold_by","Продаден от:"
"app_text_write_review","Напиши отзив"
"app_text_view_review","Преглед Преглед (а)"
"app_text_view_seller_products","Вижте Продавач продукт (а)"
"app_text_wait","Моля Изчакай"
"app_text_loading","Данните се зареждат ..."
"app_text_msg_went_wrong","Нещо се обърка. Моля, опитайте отново."
"app_text_msg_no_internet_found","Няма връзка с интернет намерен."
"app_text_msg_no_internet_title","No Интернет"
"app_text_msg_request","Заявката не може да бъде процес. Това може да се дължи на бавния интернет връзка."
